"vehicleid","date","start_rounded","finish_rounded","tripid"
4394,"2020-08-07","08:20:00","08:30:00",44297775
4394,"2020-08-07","16:20:00","16:30:00",44297830
4395,"2020-08-04","07:45:00","07:50:00",41979577
4395,"2020-08-04","08:45:00","09:05:00",41979580
4395,"2020-08-04","17:50:00","18:05:00",41979598
4395,"2020-08-07","08:40:00","08:45:00",44297741
4397,"2020-08-03","07:30:00","07:40:00",40685311
4397,"2020-08-06","08:20:00","08:25:00",40685328
4399,"2020-08-06","17:20:00","17:30:00",44297832
4399,"2020-08-07","16:30:00","16:45:00",41979709
4403,"2020-08-05","16:15:00","16:25:00",44297791
4404,"2020-08-03","16:35:00","16:45:00",40685602
4407,"2020-08-05","08:55:00","09:05:00",44297863
4407,"2020-08-05","16:00:00","16:10:00",44297873
4501,"2020-08-04","17:00:00","17:35:00",44298769
4502,"2020-08-03","07:05:00","07:35:00",44298709
4502,"2020-08-04","08:45:00","08:55:00",41981116
4502,"2020-08-05","17:00:00","17:35:00",43820060
4502,"2020-08-06","08:25:00","08:35:00",41981070
4503,"2020-08-03","16:20:00","16:30:00",41981151
4503,"2020-08-07","16:25:00","16:40:00",43820441
4504,"2020-08-04","08:05:00","08:40:00",44298631
4504,"2020-08-04","17:00:00","17:05:00",41981028
4505,"2020-08-06","08:15:00","08:25:00",41981092
4507,"2020-08-03","07:20:00","07:25:00",43820544
4507,"2020-08-03","16:20:00","16:25:00",43820645
4507,"2020-08-04","06:05:00","06:25:00",44298736
4507,"2020-08-04","07:40:00","08:10:00",44298717
4507,"2020-08-06","16:15:00","16:25:00",41980962
4507,"2020-08-07","16:10:00","16:50:00",44298678
4509,"2020-08-04","08:50:00","09:05:00",41981011
4509,"2020-08-05","17:05:00","17:15:00",43820499
4510,"2020-08-04","06:40:00","07:15:00",44298759
4510,"2020-08-04","08:55:00","09:30:00",44298757
4510,"2020-08-05","06:40:00","07:10:00",44298702
4510,"2020-08-07","06:40:00","07:10:00",44298759
4511,"2020-08-03","07:35:00","07:50:00",43820642
4511,"2020-08-06","06:25:00","06:30:00",43820593
4511,"2020-08-06","08:05:00","08:10:00",43820233
4511,"2020-08-07","06:55:00","07:00:00",43820458
4513,"2020-08-03","07:40:00","07:45:00",43820594
4513,"2020-08-03","08:25:00","08:40:00",43820237
4513,"2020-08-05","16:40:00","16:50:00",41981265
4513,"2020-08-06","17:40:00","17:50:00",44298840
4515,"2020-08-03","08:40:00","08:45:00",41981228
4515,"2020-08-07","16:10:00","16:15:00",43820538
4516,"2020-08-03","07:00:00","07:35:00",44298627
4516,"2020-08-04","16:00:00","16:20:00",43820539
4516,"2020-08-06","07:00:00","07:35:00",44298627
4516,"2020-08-07","07:35:00","07:45:00",41980997
4516,"2020-08-07","08:45:00","08:55:00",41981116
4518,"2020-08-04","17:20:00","17:30:00",43820534
4518,"2020-08-05","06:35:00","06:50:00",43820500
4518,"2020-08-05","17:25:00","17:40:00",43820420
4518,"2020-08-06","08:00:00","08:10:00",41981105
4518,"2020-08-07","06:25:00","06:30:00",41981172
4519,"2020-08-04","17:35:00","17:55:00",43820537
4519,"2020-08-06","07:40:00","07:50:00",41981036
4521,"2020-08-04","08:55:00","09:05:00",41981077
4521,"2020-08-06","06:00:00","06:25:00",44298687
4521,"2020-08-06","16:30:00","16:40:00",44298692
