stop_id,HubName,HubDist
"11180","3",579.256217015718
"13480","3",599.118867620597
"29262","3",727.842749126859
"29266","3",582.294351756964
"29268","3",525.331694709833
"29270","3",599.747422947489
"11130","1",735.582251620315
"1180","1",810.913320241214
"1190","1",186.19631853891
"1195","1",349.951504860304
"1420","0",253.745961334803
"1580","0",603.687533716024
"300","0",1249.28870371458
"320","0",205.325671403994
"340","0",541.83968351253
"360","0",1164.58741894047
"361","0",1394.04244213593
"2255","2",1144.67734785298
"2291","2",1100.41362994263
"26641","2",1001.69047871608
"26645","2",83.3774297949673
"26690","2",1217.00295788292
"26715","2",95.9972401624447
"12880","4",163.468186090412
"12910","4",161.967305076134
"41930","4",550.527374417697
"41940","4",302.762563496386
"41950","4",810.472877010468
"42000","4",362.831598788756
"42010","4",760.697081797632
"10911","5",928.756519426825
"9134","5",431.166601682253
"9142","5",627.892290149648
"9144","5",870.362813351365
"9575","5",1003.35729740749
"9581","5",467.03263675365
"9582","5",402.708444231812
"8400","8",1169.39875681196
"8401","8",470.629045077398
"8429","8",1042.04849116819
"8660","8",904.548025193284
"8681","8",725.039384703759
"8690","8",1178.01045505804
"13760","7",1621.72198725345
"14200","7",1657.95393748991
"18120","7",1363.65574982673
"18145","7",610.682790998458
"18150","7",303.990515596845
"18165","7",1709.3839880555
"18696","7",1371.66090668805
"18706","7",277.689023513096
"18720","7",527.260849056777
"18740","7",1514.01463581993
"29240","6",649.021952368365
"29242","6",490.539420471371
"29243","6",654.514758384446
"29247","6",1161.54816098875
"29405","6",867.170069812031
"29420","6",747.461887931653
"9561","6",1365.12059859065
"67652","9",113.425699946979
"67654","9",313.052461430232
"67655","9",195.514463973157
"68001","9",242.141096705866
"68003","9",52.4023942957164
"68004","9",35.9549265720625
"68005","9",165.776724840771
"68007","9",256.093702268417
"69021","9",137.938669569732
"85630","9",305.207459265359
