OBJECTID,CHANGE_NUM,MINOR_CHAN,CURRENT_NE,IN_SERVICE,ROUTE_ID,LOCAL_EXPR,ROUTE_NUM,SHAPE_Leng
"272","143","11",CURRENT,N,"100084",L,"192",205645.507307737
"276","143","11",CURRENT,N,"100088",L,"197",316682.536430565
"289","143","11",CURRENT,N,"100143",L,"252",189768.928727223
"290","143","11",CURRENT,N,"100070",L,"179",278068.991746324
"295","143","11",CURRENT,N,"100104",L,"212",138635.941565728
"297","143","11",CURRENT,N,"100146",L,"255",187823.237560576
"299","143","11",CURRENT,N,"100106",L,"214",190667.286050445
"301","143","11",CURRENT,N,"100148",L,"257",212333.047433968
"305","143","11",CURRENT,N,"100108",L,"216",287320.123733814
"308","143","11",CURRENT,N,"100109",L,"217",171222.577950703
"310","143","11",CURRENT,N,"100159",L,"268",191797.914430618
"312","143","11",CURRENT,N,"100082",L,"190",217337.604705623
"313","143","11",CURRENT,N,"100110",L,"219",276167.359410341
"316","143","11",CURRENT,N,"100232",E,"522",205563.280382908
"317","143","11",CURRENT,N,"100263",L,"7",77483.6661488548
"319","143","11",CURRENT,N,"100236",E,"545",193740.493937323
"321","143","11",CURRENT,N,"100186",L,"311",221442.896171052
"324","143","11",CURRENT,N,"100187",E,"312",111891.218087506
"326","143","11",CURRENT,N,"100239",E,"550",116708.535268188
"327","143","11",CURRENT,N,"100268",L,"74",68924.8018626701
"328","143","11",CURRENT,N,"100190",L,"316",99447.1261205249
"332","143","11",CURRENT,N,"100221",L,"41",152427.766529307
"333","143","11",CURRENT,N,"100240",E,"554",260167.903487575
"334","143","11",CURRENT,N,"100270",L,"76",78442.1619736518
"338","143","11",CURRENT,N,"100271",E,"77",83173.310621245
"348","143","11",CURRENT,N,"100175",E,"301",136189.517429916
"351","143","11",CURRENT,N,"100175",L,"301",166532.432242793
"354","143","11",CURRENT,N,"100177",E,"303",114747.249713153
"360","143","11",CURRENT,N,"100253",E,"64",112377.91828632
"361","143","11",CURRENT,N,"100182",L,"308",118127.254967784
"364","143","11",CURRENT,N,"100183",E,"309",94658.8029539446
"382","143","11",CURRENT,N,"100459",L,"218",198974.490196104
"403","143","11",CURRENT,N,"100475",L,"157",232468.292596805
"416","143","11",CURRENT,N,"100345",E,"987",186128.869259203
"426","143","11",CURRENT,N,"100487",L,"102",192450.837606118
"443","144","0",NEXT,N,"100041",E,"143",240917.869770227
"444","144","0",NEXT,N,"100003",L,"101",128466.60281086
"450","144","0",NEXT,N,"100045",L,"150",182312.29817284
"451","144","0",NEXT,N,"100068",L,"177",249196.596539058
"457","144","0",NEXT,N,"100009",L,"11",41145.658756297
"463","144","0",NEXT,N,"100011",L,"111",238409.532861852
"466","143","11",CURRENT,N,"102639",E,"63",74840.1014681018
"469","144","0",NEXT,N,"100051",L,"158",280529.563477559
"474","144","0",NEXT,N,"100013",L,"114",169633.219743421
"476","144","0",NEXT,N,"100052",L,"159",291303.41639959
"492","144","0",NEXT,N,"100110",L,"219",276134.947919218
"494","144","0",NEXT,N,"100177",E,"303",114747.249713153
"495","144","0",NEXT,N,"100082",L,"190",214889.026437978
"497","144","0",NEXT,N,"100143",L,"252",189768.928727223
"499","144","0",NEXT,N,"100084",L,"192",205645.507307737
"501","144","0",NEXT,N,"100182",L,"308",118127.254967784
"503","144","0",NEXT,N,"100183",E,"309",94658.8029539446
"504","144","0",NEXT,N,"100088",L,"197",316682.536370912
"505","144","0",NEXT,N,"100148",L,"257",212333.047433968
"506","144","0",NEXT,N,"100186",L,"311",221442.896171052
"512","144","0",NEXT,N,"100159",L,"268",191797.914430618
"513","144","0",NEXT,N,"100069",L,"178",277637.532482425
"519","144","0",NEXT,N,"100070",L,"179",278068.991746324
"524","144","0",NEXT,N,"100104",L,"212",138603.530074605
"527","144","0",NEXT,N,"100106",L,"214",190634.874559322
"534","144","0",NEXT,N,"100108",L,"216",287287.712242691
"536","144","0",NEXT,N,"100175",E,"301",136189.517429916
"538","144","0",NEXT,N,"100109",L,"217",171190.16645958
"539","144","0",NEXT,N,"100175",L,"301",166532.432242793
"547","144","0",NEXT,N,"100253",E,"64",112377.91828632
"565","144","0",NEXT,N,"100232",E,"522",205563.280382908
"566","144","0",NEXT,N,"100263",L,"7",77483.6661488548
"569","144","0",NEXT,N,"100236",E,"545",193740.493934823
"571","144","0",NEXT,N,"100187",E,"312",111891.218087506
"574","144","0",NEXT,N,"100190",L,"316",99447.1261205249
"576","144","0",NEXT,N,"100239",E,"550",116559.831331312
"577","144","0",NEXT,N,"100268",L,"74",69515.120076853
"583","144","0",NEXT,N,"100221",L,"41",152427.766529307
"584","144","0",NEXT,N,"100240",E,"554",260135.491996452
"585","144","0",NEXT,N,"100270",L,"76",78442.1619736518
"589","144","0",NEXT,N,"100271",E,"77",83173.310621245
"603","144","0",NEXT,N,"100475",L,"157",232468.292596805
"614","144","0",NEXT,N,"100345",E,"987",186240.273902395
